PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,6/24/2015,17:12:33,Main Run,1A,1,TDT Long,NA,NA,Start Run,17:12:33.37,63570762753.376,NA,NA,
xxx,6/24/2015,17:12:38,Main Run,1A,1,TDT Long,NA,NA,chime,0:00:05.01,5.016,NA,NA,
xxx,6/24/2015,17:12:39,Main Run,1A,2,Nav,Easy,Easy,(phase) Listening Start,0:00:05.82,0.81,NA,NA,
xxx,6/24/2015,17:12:39,Main Run,1A,2,Nav,Easy,Easy,Jump to trial 2,0:00:00.00,-5.826,NA,NA,
xxx,6/24/2015,17:12:40,Main Run,1A,2,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.12,1.124,NA,NA,
xxx,6/24/2015,17:12:40,Main Run,1A,2,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.13,0.015,NA,NA,
xxx,6/24/2015,17:12:44,Main Run,1A,3,Nav,Easy,Hard,(phase) Listening Start,0:00:04.76,3.627,NA,NA,
xxx,6/24/2015,17:12:44,Main Run,1A,3,Nav,Easy,Hard,Jump to trial 3,0:00:00.00,-4.766,NA,NA,
xxx,6/24/2015,17:12:45,Main Run,1A,3,Nav,Easy,Hard,(phase) Listening Stop,0:00:01.11,1.116,NA,NA,
xxx,6/24/2015,17:12:45,Main Run,1A,3,Nav,Easy,Hard,(phase) Speaking Start,0:00:01.12,0.013,NA,NA,
xxx,6/24/2015,17:12:48,Main Run,1A,4,Nav,Easy,Hard,(phase) Listening Start,0:00:04.79,3.661,NA,NA,
xxx,6/24/2015,17:12:48,Main Run,1A,4,Nav,Easy,Hard,Jump to trial 4,0:00:00.00,-4.79,NA,NA,
xxx,6/24/2015,17:12:50,Main Run,1A,4,Nav,Easy,Hard,(phase) Listening Stop,0:00:01.12,1.125,NA,NA,
xxx,6/24/2015,17:12:50,Main Run,1A,4,Nav,Easy,Hard,(phase) Speaking Start,0:00:01.13,0.012,NA,NA,
xxx,6/24/2015,17:12:54,Main Run,1A,5,Nav,Easy,Easy,(phase) Listening Start,0:00:05.50,4.364,NA,NA,
xxx,6/24/2015,17:12:54,Main Run,1A,5,Nav,Easy,Easy,Jump to trial 5,0:00:00.00,-5.5,NA,NA,
