PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,6/22/2015,15:41:24,Practice,NA,1,Nav,Easy,Easy,Start Run,15:41:24.46,63570584484.46,NA,NA,
xxx,6/22/2015,15:41:24,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Start,15:41:24.47,63570584484.471,NA,NA,
xxx,6/22/2015,15:41:25,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.32,1.325,NA,NA,
xxx,6/22/2015,15:41:25,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.33,1.334,NA,NA,
xxx,6/22/2015,15:41:30,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Stop,0:00:06.04,6.044,NA,NA,
xxx,6/22/2015,15:41:30,Practice,NA,1,Nav,Easy,Easy,(btn) command correct perfect,0:00:06.05,6.052,NA,NA,
xxx,6/22/2015,15:41:30,Practice,NA,1,Nav,Easy,Easy,(phase) Reading Start,0:00:06.07,6.077,NA,NA,
xxx,6/22/2015,15:41:36,Practice,NA,1,Nav,Easy,Easy,(phase) Reading Stop,0:00:11.93,11.932,NA,NA,
xxx,6/22/2015,15:41:36,Practice,NA,1,Nav,Easy,Easy,(btn) line 1,0:00:11.94,11.941,yes,NA,
xxx,6/22/2015,15:41:36,Practice,NA,1,Nav,Easy,Easy,show confirmation,0:00:11.95,11.957,NA,NA,
PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,6/22/2015,17:43:57,Practice,NA,1,Nav,Easy,Easy,Start Run,17:43:57.37,63570591837.379,NA,NA,
xxx,6/22/2015,17:43:57,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Start,17:43:57.39,63570591837.39,NA,NA,
xxx,6/22/2015,17:43:58,Practice,NA,1,Nav,Easy,Easy,(phase) Listening Stop,0:00:01.33,1.332,NA,NA,
xxx,6/22/2015,17:43:58,Practice,NA,1,Nav,Easy,Easy,(phase) Speaking Start,0:00:01.34,1.342,NA,NA,
PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,6/22/2015,17:44:41,Practice,1A,1,TDT Long,NA,NA,change scenario,17:44:41.68,63570591881.69,NA,NA,
PID, Date, Time, RunType, Scenario, Trial, Task, Cognitive, Visual, InputEvent, ElapsedTime, Duration, N_OptimalChoice, R_FirstTry, Notes
xxx,6/22/2015,17:44:43,Practice,1A,1,TDT Long,NA,NA,Start Run,17:44:43.28,63570591883.282,NA,NA,
